model,language,lang_code,accuracy,ci_95,drop_abs,drop_rel_pct,p_value,significant,n
llama4-maverick,Hindi,hi,43.37,"[40.3, 46.4]",12.04,21.73,0.0,True,980
llama4-maverick,Marathi,mr,41.94,"[38.9, 45.0]",13.47,24.31,0.0,True,980
llama4-maverick,Bengali,bn,42.65,"[39.7, 45.8]",12.76,23.02,0.0,True,980
llama4-maverick,Tamil,ta,34.9,"[32.0, 38.0]",20.51,37.02,0.0,True,980
llama4-maverick,Telugu,te,38.57,"[35.6, 41.6]",16.84,30.39,0.0,True,980
llama4-maverick,Kannada,kn,41.63,"[38.5, 44.7]",13.78,24.86,0.0,True,980
qwen2.5-vl-32b,English,en,50.31,"[47.1, 53.5]",0.0,0.0,1.0,False,980
qwen2.5-vl-32b,Hindi,hi,34.08,"[31.1, 37.1]",16.22,32.25,0.0,True,980
qwen2.5-vl-32b,Marathi,mr,35.61,"[32.7, 38.7]",14.69,29.21,0.0,True,980
qwen2.5-vl-32b,Bengali,bn,39.08,"[36.1, 42.3]",11.22,22.31,0.0,True,980
qwen2.5-vl-32b,Tamil,ta,34.18,"[31.2, 37.1]",16.12,32.05,0.0,True,980
qwen2.5-vl-32b,Telugu,te,33.16,"[30.2, 36.1]",17.14,34.08,0.0,True,980
qwen2.5-vl-32b,Kannada,kn,32.55,"[29.8, 35.4]",17.76,35.29,0.0,True,980
qwen2.5-vl-7b,English,en,51.33,"[48.2, 54.4]",0.0,0.0,1.0,False,980
qwen2.5-vl-7b,Hindi,hi,34.18,"[31.1, 37.3]",17.14,33.4,0.0,True,980
qwen2.5-vl-7b,Marathi,mr,30.0,"[27.0, 33.1]",21.33,41.55,0.0,True,980
qwen2.5-vl-7b,Bengali,bn,32.65,"[29.7, 35.8]",18.67,36.38,0.0,True,980
qwen2.5-vl-7b,Tamil,ta,28.67,"[25.8, 31.5]",22.65,44.14,0.0,True,980
qwen2.5-vl-7b,Telugu,te,26.94,"[24.2, 29.9]",24.39,47.51,0.0,True,980
qwen2.5-vl-7b,Kannada,kn,30.61,"[27.9, 33.6]",20.71,40.36,0.0,True,980
qwen2.5-vl-7b-cot,English,en,49.49,"[46.5, 52.8]",0.0,0.0,1.0,False,980
qwen2.5-vl-7b-cot,Hindi,hi,25.0,"[22.3, 27.7]",24.49,49.48,0.0,True,980
qwen2.5-vl-7b-cot,Marathi,mr,33.27,"[30.3, 36.3]",16.22,32.78,0.0,True,980
qwen2.5-vl-7b-cot,Bengali,bn,18.27,"[15.8, 20.7]",31.22,63.09,0.0,True,980
qwen2.5-vl-7b-cot,Tamil,ta,29.69,"[26.8, 32.8]",19.8,40.0,0.0,True,980
qwen2.5-vl-7b-cot,Telugu,te,22.76,"[20.2, 25.5]",26.73,54.02,0.0,True,980
qwen2.5-vl-7b-cot,Kannada,kn,19.18,"[16.8, 21.7]",30.31,61.24,0.0,True,980
qwen2.5-vl-7b-no_image,English,en,35.82,"[32.9, 38.9]",0.0,0.0,1.0,False,980
qwen2.5-vl-7b-no_image,Hindi,hi,26.02,"[23.3, 28.7]",9.8,27.35,0.0,True,980
qwen2.5-vl-7b-no_image,Marathi,mr,25.1,"[22.4, 27.9]",10.71,29.91,0.0,True,980
qwen2.5-vl-7b-no_image,Bengali,bn,24.49,"[21.7, 27.2]",11.33,31.62,0.0,True,980
qwen2.5-vl-7b-no_image,Tamil,ta,18.98,"[16.6, 21.4]",16.84,47.01,0.0,True,980
qwen2.5-vl-7b-no_image,Telugu,te,20.71,"[18.1, 23.4]",15.1,42.17,0.0,True,980
qwen2.5-vl-7b-no_image,Kannada,kn,23.67,"[21.1, 26.3]",12.14,33.9,0.0,True,980
qwen3-vl-30b,English,en,64.9,"[61.9, 68.0]",0.0,0.0,1.0,False,980
qwen3-vl-30b,Hindi,hi,44.08,"[41.1, 47.2]",20.82,32.08,0.0,True,980
qwen3-vl-30b,Marathi,mr,36.12,"[33.0, 39.2]",28.78,44.34,0.0,True,980
qwen3-vl-30b,Bengali,bn,43.27,"[40.1, 46.3]",21.63,33.33,0.0,True,980
qwen3-vl-30b,Tamil,ta,41.12,"[38.1, 44.1]",23.78,36.64,0.0,True,980
qwen3-vl-30b,Telugu,te,36.53,"[33.6, 39.6]",28.37,43.71,0.0,True,980
qwen3-vl-30b,Kannada,kn,38.67,"[35.6, 41.7]",26.22,40.41,0.0,True,980
